"","Rank","Twitter Handle","Name","TL Score","profileURL","profileIMGURL","areofExpert","AreasofExpertise","company","intro","location","tFollower","IndustryExperience","Publications","Opportunities","socialURL","tURL","linkURL","thandle"
"11",11,"MarkDataDriven","Mark Reynolds","Score: 33.08","https://www.thinkers360.com/tl/profiles/view/281","https://www.thinkers360.com/tl/assets/images/profile.jpg",NA,"Agile |AI |Analytics |Culture |Design Thinking|Digital Disruption|Digital Transformation|Emerging Technology|Innovation |IoT |Leadership |Open Innovation|Predictive Analytics","Mark Reynolds
                  Digital Transformation Engineer
                                    http://profreynolds.com/","Master of Engineering professional experienced as an engineer, architect, developer and team leader. Accomplished Project Manager and Director demonstrating proactive application of digital technologies and agile methodologies balanced between engineering, development, automation, adaptive processing, and distributed systems. Senior Dot NET Developer adept at user engagement and robust feature rich solutions. Solution Evangelist with recognized command of processes, distributed systems, analytics, machine learning, and multiple digital technologies. 
“My background integrates unique understanding of operations, knowledge, and analytics. I actively balance engineering, design, architecture, and applications with special consideration toward operations, knowledge, and analytics.”
Ready to bring success and vision to technological challenges, enterprise solutions, real-time processes, analytics, IoT, automation and edge computing. Ready to implement solutions focusing on cross discipline teams, integrated user experiences, and organizational responsibility. Ready to provide a leadership role model through active communication, enhancing team growth and sustainability. Ready on day one.","Spring, United States","58","Aerospace & Defense | Financial Services & Banking | Oil & Gas | Professional Services","15 Article/Blogs  | 2 Media Interviews  | 2 Panels  | 3 Speaking Engagements ","Digital Transformation Engineer
			Location: North Houston    Date Available: July 01st, 2018    Fees: negotiable
			Submission Date: July 09th, 2018    Service Type: Service Offered","https://www.linkedin.com/in/profreynolds/ | https://twitter.com/Prof_Reynolds","https://twitter.com/Prof","https://www.linkedin.com/in/profreynolds","Prof"
"12",12,"tomraftery","Tom Raftery","Score: 32.31","https://www.thinkers360.com/tl/profiles/view/225","https://www.thinkers360.com/tl/assets/images/profile.jpg",NA,"AI |Analytics |VR |Autonomous Vehicles|Blockchain |Cloud |Cryptocurrency |Cybersecurity |Digital Disruption|Digital Transformation|Edtech |Emerging Technology|Future of|Healthtech |Innovation |IoT |Marketing |Mobility |Predictive Analytics|Supply Chain|Sustainability |Customer Experience|Management |Open Innovation|Leadership ","SAP
                  Global VP, Futurist, and Innovation Evangelist
                                    https://www.sap.com","Global VP, Futurist, & #Innovation Evangelist @SAP, inspirational keynote speaker, Co-founder @CloudCIX, Host http://IoTHeroes.com  podcast, Global #IoT influencer","Seville, Spain","19689","Automotive | High Tech & Electronics | Media | Oil & Gas | Utilities","223 Article/Blogs  | 12 Keynotes  | 13 Media Interviews  | 1 Podcast  | 1 Video ","Inspirational keynote talks on innovation
			Location: Global    Date Available: June 15th, 2018    Fees: Travel and Expenses covered
			Submission Date: June 15th, 2018    Service Type: Service Offered","https://es.linkedin.com/in/tomraftery | https://twitter.com/tomraftery | https://www.instagram.com/tomraftery_","https://twitter.com/tomraftery",NA,"tomraftery"
"13",13,"jimmarous","Jim Marous","Score: 32.31","https://www.thinkers360.com/tl/profiles/view/132","https://www.thinkers360.com/tl/assets/images/profile.jpg",NA,"AI |Digital Transformation|Fintech |Innovation |Change Management","The Financial Brand
                  Co-Publisher
                                    https://thefinancialbrand.com","Named as one of the most influential people in banking and a Top 5 Fintech Influencer to Follow, Jim Marous is an internationally recognized financial industry strategist, co-publisher of The Financial Brand and the owner and publisher of the Digital Banking Report. Marous advises on innovation, portfolio growth, customer experience, marketing strategies, channel shift, payments and digital transformation within the financial services industry.
As a sought after keynote speaker, author and recognized authority on disruption in the financial services industry, Marous has been featured by CNBC and CNN, The Wall Street Journal, New York Times, The Financial Times, The Economist, The American Banker, Accenture and the Irish Tech News and has spoken to audiences worldwide. Jim has also advised the White House on banking policy and is a regular contributor and guest host for the Breaking Banks broadcast hosted by Brett King.","Cleveland, United States","76160","Financial Services & Banking | Insurance","33 Article/Blogs  | 2 Keynotes  | 9 Media Interviews ",NA,"https://www.linkedin.com/in/jimmarous/ | https://twitter.com/jimmarous","https://twitter.com/jimmarous","https://www.linkedin.com/in/jimmarous","jimmarous"
"14",14,"hessiejones","Hessie Jones","Score: 31.54","https://www.thinkers360.com/tl/profiles/view/147","https://www.thinkers360.com/tl/assets/images/profile.jpg",NA,"AI |Big Data|CRM |Digital Disruption|Digital Transformation|Marketing |Social |Startups |Analytics |Innovation |Open Innovation|Future of|Culture |Proptech |Health and|Cloud ","Salsa AI
                  Cofounder
                                    http://salsaai.org","I have a passion for technology and try to stay on the cutting edge of the Internet, artificial intelligence, social media, and video and how they impact marketers and advertisers as the media landscape morphs with these mediums. 
These days we need to go beyond current KPI's and measure success based on customer needs, that is both time relevant and business relevant. This is the advent of business transformation and the consumer is dictating this paradigm shift in commerce and communication across all industry sectors. 
When I started ArCompany a few years back we saw the future : taking Social Media to the inevitable next level: operationalizing social and showing companies how to capitalize on social intelligence.
The tide is turning and this vision is now a reality. I'm now tackling how business begins to transform because of AI's impetus. It will change culture, process and mindset. My current motto - SCALE AI TO THE MASSES through platform, education and inclusiveness. This means creating a product that everyone can use but also EDUCATING for the non-technical groups and providing the foundations for AI and what companies need to do to prepare.
With over 17 years in the digital space, I have worked within these disciplines: AI, data analytics, big data, social media strategy, performance tracking and optimization, influencer strategy, content strategy and development, community management, application development for web and mobile, client management, search and online media strategy/marketing, product marketing, sponsorship marketing, direct and database marketing, loyalty/CRM, education, training, outreach, content management, and PR.
...While working with/for brands including Second Cup, LCBO, Aon, Adidas, Citi, Taco Bell, Pizza Hut; Absolut Vodka, Crystal Head Vodka, Columbia House, CIBC, Yahoo! (Answers, Music, FIFA, Mail, News, Finance) Overlay.TV, Juno Awards, Canadian New Media Award, Toronto Grand Prix, Fairweather, UPS, Esso, Lexus, Scotiabank ","Pickering, Canada","5082","Automotive | Consumer Products | Financial Services & Banking | Media | Professional Services | Telecommunications | Travel & Transportation","115 Article/Blogs  | 1 Book ",NA,"https://www.linkedin.com/in/hessiejones1/ | https://twitter.com/hessiejones","https://twitter.com/hessiejones","https://www.linkedin.com/in/hessiejones","hessiejones"
"15",15,"mkrigsman","Michael Krigsman","Score: 31.54","https://www.thinkers360.com/tl/profiles/view/137","https://www.thinkers360.com/tl/assets/images/profile.jpg",NA,"Digital Transformation|Autonomous Vehicles|AI |Innovation |Change Management",NA,"Michael Krigsman is an industry analyst and host of http://cxotalk.com. He is recognized internationally as an analyst, writer, and commentator. 
Key accomplishments:
-- Conducted many hundreds of live executive interviews and panels on video and at conferences
-- Referenced in over 1,000 times in newspapers, TV, and radio
-- Work has been referenced in 50 books 
-- Published in Wall Street Journal and various syndicated websites
-- ZDNet columnist: written over 1,000 articles on innovation
-- Judge for CIO 100 annual contest, CRM Idol, and BlueWolf CX, and others
#1 CIO influencer among all industry analysts (Apollo research)
#2 on Klout list of 13,000 IT influencers
#4 most mentioned globally by IT leaders on Twitter (research by Robert Half)
#18 Onalytica list of top 100 Digital Transformation influencers (2018)
Keynote speaker and expert panel moderator at many global conferences.
He is also a photographer whose work has been published by the Wall Street Journal, MIT, CNET News, the National Park Service, Inc. Magazine, and others. Michael is on Twitter at @mkrigsman.","Boston, United States","33403","","2 Article/Blogs  | 20 Podcasts ",NA,"https://www.linkedin.com/in/mkrigsman/ | https://twitter.com/mkrigsman","https://twitter.com/mkrigsman","https://www.linkedin.com/in/mkrigsman","mkrigsman"
"16",16,"SetDeep","Deepak Seth","Score: 31.54","https://www.thinkers360.com/tl/profiles/view/157","https://www.thinkers360.com/tl/assets/images/profile.jpg",NA,"",NA,"Accomplished Global Technology Leader with 20+ years of progressive experience in IT strategy, enterprise architecture, program management, application and enterprise system integration. Excellent communicator who engages all levels in their own language (technical, business, C-Suite) to articulate complex technical concepts effectively.
Strategic Visionary & Innovation Driver who takes out-of-the-box solutions to full operational delivery. Advanced executive strategy discussions focused on new applications for emerging technologies to drive business enablement, revenue growth, cost savings, and competitive advantage across industry sectors (healthcare, technology, services, consumer). Business DNA combines key traits: driven, energetic, action-oriented, analytical, big-picture perspective.
Core Competencies
Strategic Planning  Global Team Leadership  Enterprise Architecture    Business Transformation  OPEX/CAPEX Product/Systems Development   Project/Program Management   Risk Management   IT Governance Big Data/BI  Analytics   CRM/ERP   Workflow Automation  System Integration   Technology Innovation","Fort Worth, Texas, United States","153","","13 Article/Blogs ",NA,"https://www.linkedin.com/in/deepaksethitleader/ | https://twitter.com/SetDeep","https://twitter.com/SetDeep","https://www.linkedin.com/in/deepaksethitleader","SetDeep"
"17",17,"mabstep","Matt Stephens","Score: 30.77","https://www.thinkers360.com/tl/profiles/view/8","https://www.thinkers360.com/tl/assets/images/profile.jpg",NA,"AI |Analytics |Big Data|Blockchain |Cloud |CRM |Culture |Customer Experience|Design Thinking|Digital Disruption|Edtech |Emerging Technology|Healthtech |Innovation |Leadership |Lean Startup|Management |Marketing |Mobility |Open Innovation|Predictive Analytics|Startups |Digital Transformation|Future of|Social ","Theraloop, Inc.
                  Founder & CEO","My experience as an operator/principal and as an adviser to early-growth stage company executives and fund managers has provided me with a dynamic lens through which I use to recognize, understand, and address opportunities for gain. This perspective allows me to ask the right questions, remain objective, and produce outcomes that reduce risk, eliminate or avoid inefficiencies, and accelerate sustainable revenue growth.","Atlanta, United States","52","Consumer Products | Financial Services & Banking | Healthcare | High Tech & Electronics | Higher Education & Research | Insurance | Manufacturing | Media | Oil & Gas | Professional Services | Retail | Telecommunications | Travel & Transportation | Wholesale Distribution","6 Article/Blogs  | 1 Conference Publication  | 2 Journal Publications  | 1 Keynote ","Product Development & Revenue Growth Strategy: Accelerated path to improve Liquidity and Profitability
			Location: United States    Date Available: July 16th, 2018    Fees: Varies
			Submission Date: July 17th, 2018    Service Type: Service Offered","https://www.linkedin.com/in/matt-stephens-332aa044 | https://twitter.com/mabstep","https://twitter.com/mabstep","https://www.linkedin.com/in/matt","mabstep"
"18",18,"vsolank1","Vinay Solanki","Score: 30.77","https://www.thinkers360.com/tl/profiles/view/257","https://www.thinkers360.com/tl/assets/images/profile.jpg",NA,"Emerging Technology|Innovation |IoT |Leadership |Open Innovation|Digital Transformation|Management |Marketing |AI |Analytics |Health and|Cloud |VR |Digital Disruption|Healthtech ","Lenovo
                  Head IoT (APAC & MEA)
                                    https://www.lenovo.com/","Vinay has 14+ years of experience playing roles in business development, strategy, alliances, fraud & risk management, technology and product management. He heads the Business of Internet of Things at Lenovo for APAC and MENA and prior to this worked as Director Strategy at Aeris a leading IoT player. He led IoT and Wi-Fi Business at Bharti Airtel, India and has worked as VP Technology at Goldman Sachs, in New York. 
Vinay holds an MBA from IIM-A and is the founder of the world’s 4th largest IoT community IoT-NCR with 6500+ members. He is member of IET IoT, NASSCOM, DoT TEC and author on Your-Story, EFY, IoT Central, etc. He speaks on IoT, FinTech and Youth Motivations at various conferences, academic institutions and corporates including Intel DevFest, FMS Delhi, IIM-A, IoT Expo, AICRA.","Delhi NCR, India","241","Financial Services & Banking | Professional Services | Telecommunications","9 Article/Blogs  | 1 Journal Publication  | 1 Keynote  | 1 Media Interview  | 1 Panel  | 4 Speaking Engagements  | 2 Whitepapers  | 1 Whitepaper ",NA,"https://www.linkedin.com/in/vinaysolanki/ | https://twitter.com/vsolank1","https://twitter.com/vsolank","https://www.linkedin.com/in/vinaysolanki","vsolank"
"19",19,"DaveAWhitney","Dave Whitney","Score: 30.77","https://www.thinkers360.com/tl/daveawhitney","https://www.thinkers360.com/tl/assets/images/profile.jpg",NA,"Analytics |Cloud |Design Thinking|Digital Disruption|Digital Transformation|Emerging Technology|Healthtech |Innovation |Leadership |Marketing |Startups |Culture |Sustainability |Management |Social |CRM |Supply Chain","Independent Consultant
                  Healthcare Innovation Advisor","Recognized business leader in radiology, imaging, and healthcare platform design & innovation. Dave provides subject matter expertise in the fields of enterprise medical imaging, driving radiology practice success, business collaboration and publisher of healthcare thought leadership.
Leadership - Innovation - Strategy - Transformation","Phoenix, United States","33","Healthcare | High Tech & Electronics | Other | Telecommunications","19 Article/Blogs  | 4 Media Interviews ","Virtual Healthcare Advisory and Executive
			Location: Virtual    Date Available: June 05th, 2018    Fees: TBD
			Submission Date: June 05th, 2018    Service Type: Service Offered","https://www.linkedin.com/in/daveawhitney/ | https://twitter.com/DaveAWhitney","https://twitter.com/DaveAWhitney","https://www.linkedin.com/in/daveawhitney","DaveAWhitney"
"20",20,"sallyeaves","Sally Eaves","Score: 30.77","https://www.thinkers360.com/tl/profiles/view/151","https://www.thinkers360.com/tl/assets/images/profile.jpg",NA,"AI |Analytics |IoT ",NA,"Recognised as a thought leader in emergent technology (Blockchain, AI, Machine Learning, VR/AR), intrapreneurship, online media and navigating digital disruption and by working with authenticity, purpose and drive, I deliver sustainable business success, educational development and social impact outcomes.  
I hold a number of directorships, undertake bespoke consultancy projects and engage in innovative research and educational activity. I am also an international events speaker, an established author and have cultivated a highly engaged and cross-sector network both in person and across all leading social media channels. 
Specialties: Business Consulting, Technology Consulting, FinTech,  Online Media Strategy, Individual, Team and Executive Coaching and Mentoring, Leadership Development, Intrapreneurship, Attitude, Behaviour and Cultural Change, Employee Engagement, Business, Technology and Education Research
Key Skills & Qualifications: MSc IT & Management, FHEA, PGCert HE, MIET, PRINCE2, ITIL
I believe strongly in the value of building mutually supporting professional relationships and a genuine business community, connecting people to one another to help make a difference. I live the ethos of paying it forward and additionally am committed to leading and promoting initiatives working with underrepresented groups to enhance employability, access to education and IT careers in order to build empowerment, create new life chances and foster a legacy of technology for good.
I would love the opportunity to start a conversation with you or your company to introduce myself personally and my wider trusted team who share these values, and to explore the possibilities of helping you to achieve your goals and optimise performance. 
Email sally@sallyeaves.com | Call +44 07973492361 | Follow @sallyeaves","London | Bristol | Birmingham, United Kingdom","86975","","1 Article/Blog ",NA,"https://www.linkedin.com/in/sally-eaves/ | https://twitter.com/sallyeaves","https://twitter.com/sallyeaves","https://www.linkedin.com/in/sally","sallyeaves"
"21",NA,"revodavid","David Smith ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"alexpghayes","Alex Hayes ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"topepos","Max Kuhn ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"daniela_witten","Daniela Witten ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"visnut","Dianne Cook ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,"dataandme","Mara Averick ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,"AngeBassa","Angela Bassa ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"juliasilge","Julia Silge ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"f2harrell","Frank Harrell ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"jcheng","Joe Cheng ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,"AmeliaMN","Amelia McNamara ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,"JennyBryan","Jenny Bryan ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,"lizstuartdc","Elizabeth Stuart ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,"drob","David Robinson ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,"kinggary","Gary King ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,"rabaath","Rasmus Bååth ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,"minebocek","Mine CetinkayaRundel ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,"kwbroman","Karl Browman ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,"statmodeling","Andrew Gelman ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
